"Version Date","Id","Area","Keyw","Element","Eng Name","L effm","Aperturem","Anglerad","K11/m^2","K21/m^3","Tiltrad","E1rad","E2rad","H1m","H2m","EnergyGeV","SumLm","X Coorm","Y Coorm","Z Coorm","X Anglerad","Y Anglerad","Z Anglerad","Rf Frequency (MHz)","Rf Amplitude (MeV)","Rf Phase (deg)","Rf Gradient (MeV/m)","Rf Power Fraction","Z Length (m)","Fringe Field Integral","Integrated Field BL (kG-m)","Field B (T)","Integrated Field Grad GL (kG)","Field Gradient G (T/m)","Xal Scale Name","Xal Scale Value","Xal Polarity","Magnet X Coor (m)","Magnet Y Coor (m)","Magnet Z Coor (m)","Magnet X Angle (rad)","Magnet Y Angle (rad)","Magnet Z Angle (rad)","Solenoid Strength KS (1/m)","Undulator Period Length (m)","Undulator Strength K","X Size (m)","Y Size (m)","Section","Dist From Section Start (m)","Xal Keyword","S Display"
"22-JAN-21","4","GUNB","SOLE","SOL1BKB","BUCKING COIL","0","0","","","","","","","","",".00126099906","-.071705","-10.116372",".28","-.99","0","0","0","","","","","","","","0","0","","","KG2T",".1","-1","","","","","","","0","","","","","CATHODE TO DIAG0","-.071705","SOLE","-10.116372"
"22-JAN-21","2","GUNB","MARK","BEGGUNB","","0","","","","","","","","","",".00126099906","0","-10.044667",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","0","MARK","-10.044667"
"22-JAN-21","6","GUNB","INST","CATHODEB","","0","","","","","","","","","",".00126099906","0","-10.044667",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0","0","INST","-10.044667"
"22-JAN-21","4","GUN","MARK","BEGGUN","","0","","","","","","","","","",".006","0","2017.911482","10.448935","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG","0","MARK","2017.911482"
"22-JAN-21","5","GUN","SOLE","SOL1BK","","0","0","","","","","","","","",".006","0","2017.911482","10.448935","0","0","0","-.610865","","","","","","","","0","0","","","KG2T",".1","-1","","","","","","","0","","","","","CATHODE TO BXG","0","SOLE","2017.911482"
"22-JAN-21","6","GUN","MARK","DBMARK80","","0","","","","","","","","","",".006","0","2017.911482","10.448935","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG","0","MARK","2017.911482"
"22-JAN-21","7","GUN","INST","CATHODE","","0","","","","","","","","","",".006","0","2017.911482","10.448935","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG","0","INST","2017.911482"
"22-JAN-21","9","GUN","SOLE","SOL1","",".2","0","","","","","","","","",".006",".19601","2018.072045","10.336508","0","0","0","-.610865","","","","","","","","0","0","","","KG2T_BDL2B",".5","-1","","","","","","","0","","","","","CATHODE TO BXG",".19601","SOLE","2018.0720445"
"22-JAN-21","10","GUN","QUAD","CQ01","QSOL","0","0","","0","","0","","","","",".006",".19601","2018.072044","10.336508","0","0","0","-.610865","","","","","","","","","","0","0","KG2T",".1","-1","","","","","","","","","","","","CATHODE TO BXG",".19601","QUAD","2018.072044"
"22-JAN-21","13","GUN","QUAD","SQ01","QSOL","0","0","","0","","45.000000000146","","","","",".006",".19601","2018.072044","10.336508","0","0","0","-.610865","","","","","","","","","","0","0","KG2T",".1","-1","","","","","","","","","","","","CATHODE TO BXG",".19601","QUAD","2018.072044"
"22-JAN-21","12","GUN","YCOR","YC00","CLASS-S","0","","","","","","","","","",".006",".19601","2018.072044","10.336508","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".19601","YCOR","2018.072044"
"22-JAN-21","11","GUN","XCOR","XC00","CLASS-S","0","","","","","","","","","",".006",".19601","2018.072044","10.336508","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".19601","XCOR","2018.072044"
"22-JAN-21","11","GUNB","QUAD","SQ01B","SOLENOID TRIM","0",".0475","","0","","45.000000000146","","","","",".00126099906",".24653","-9.798137",".28","-.99","0","0","0","","","","","","","","","","0","0","KG2T",".1","-1","","","","","","","","","","","","CATHODE TO DIAG0",".24653","QUAD","-9.798137"
"22-JAN-21","9","GUNB","SOLE","SOL1B","LBNL",".0861",".0475","","","","","","","","",".00126099906",".24653","-9.798137",".28","-.99","0","0","0","","","","","","","","0","0","","","KG2T_BDL2B","1.16144018583","-1","","","","","","","0","","","","","CATHODE TO DIAG0",".24653","SOLE","-9.798137"
"22-JAN-21","10","GUNB","QUAD","CQ01B","SOLENOID TRIM","0",".0475","","0","","0","","","","",".00126099906",".24653","-9.798137",".28","-.99","0","0","0","","","","","","","","","","0","0","KG2T",".1","-1","","","","","","","","","","","","CATHODE TO DIAG0",".24653","QUAD","-9.798137"
"22-JAN-21","16","GUN","MARK","VV01","","0","","","","","","","","","",".006",".37452","2018.218271","10.234119","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".37452","MARK","2018.218271"
"22-JAN-21","14","GUNB","INST","VV01B","","0","","","","","","","","","",".00126099906",".38748","-9.657187",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".38748","INST","-9.657187"
"22-JAN-21","16","GUNB","XCOR","XC01B","LBNL-XY","0","","","","","","","","","",".00126099906",".4845","-9.560167",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".4845","XCOR","-9.560167"
"22-JAN-21","17","GUNB","YCOR","YC01B","LBNL-XY","0","","","","","","","","","",".00126099906",".4845","-9.560167",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".4845","YCOR","-9.560167"
"22-JAN-21","19","GUNB","BPM","BPM1B","STRIPLINE-4","0","","","","","","","","","",".00126099906",".48965","-9.555017",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".48965","BPM","-9.555017"
"22-JAN-21","18","GUN","INST","AM00","","0","","","","","","","","","",".006",".49061","2018.313367","10.167532","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".49061","INST","2018.313367"
"22-JAN-21","21","GUNB","IMON","IM01B","ICT","0","","","","","","","","","",".00126099906",".594692","-9.449975",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".594692","TORO","-9.449975"
"22-JAN-21","20","GUN","INST","AM01","","0","","","","","","","","","",".006",".59522","2018.399058","10.10753","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".59522","INST","2018.399058"
"22-JAN-21","22","GUN","PROF","YAG01","YAG","0","","","","","","","","","",".006",".61362","2018.414131","10.096977","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".61362","PROF","2018.414131"
"22-JAN-21","24","GUN","INST","FC01","","0","","","","","","","","","",".006",".62459","2018.423117","10.090684","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".62459","INST","2018.423117"
"22-JAN-21","23","GUNB","XCOR","XC02B","LBNL-XY","0","","","","","","","","","",".00126099906",".6701","-9.374567",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".6701","XCOR","-9.374567"
"22-JAN-21","24","GUNB","YCOR","YC02B","LBNL-XY","0","","","","","","","","","",".00126099906",".6701","-9.374567",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".6701","YCOR","-9.374567"
"22-JAN-21","26","GUN","IMON","IM01","","0","","","","","","","","","",".006",".70709","2018.490697","10.043364","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".70709","TORO","2018.490697"
"22-JAN-21","26","GUNB","LCAV","BUN1B","LBNL",".21876","","","","","","","","","",".0012781586315",".809116","-9.235551",".28","-.99","0","0","0","1300",".393768","-84.999999996","1.8","1","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".809116","BNCH","-9.235551"
"22-JAN-21","29","GUN","YCOR","YC01","CLASS-G","0","","","","","","","","","",".006",".834385","2018.594971","9.970351","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".834385","YCOR","2018.594971"
"22-JAN-21","28","GUN","XCOR","XC01","CLASS-G","0","","","","","","","","","",".006",".834385","2018.594971","9.970351","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".834385","XCOR","2018.594971"
"22-JAN-21","31","GUN","BPM","BPM2","25_UM_RES","0","","","","","","","","","",".006",".8925736","2018.642636","9.936975","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".8925736","BPM","2018.642636"
"22-JAN-21","30","GUNB","YCOR","YC03B","LBNL-XY","0","","","","","","","","","",".001295318203",".9642","-9.080467",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".9642","YCOR","-9.080467"
"22-JAN-21","29","GUNB","XCOR","XC03B","LBNL-XY","0","","","","","","","","","",".001295318203",".9642","-9.080467",".28","-.99","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO DIAG0",".9642","XCOR","-9.080467"
"22-JAN-21","35","L0","MARK","BEGL0","","0","","","","","","","","","",".006",".9778443","2018.712486","9.888066","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","BXG TO BX01","0","MARK","2018.712486"
"22-JAN-21","35","GSPEC","MARK","BEGGSPEC","","0","","","","","","","","","",".006",".9778443","2018.712486","9.888066","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","BXG TO GUN SPECT DUMP","0","MARK","2018.712486"
"22-JAN-21","33","GUN","MARK","DBMARK81","","0","","","","","","","","","",".006",".9778443","2018.712486","9.888066","0","0","0","-.610865","","","","","","","","","","","","","","","","","","","","","","","","","","CATHODE TO BXG",".9778443","MARK","2018.712486"
